canonical,ad_name,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_names,evidence_pain,confidence,notes,notion_source,transcript_used
make-child-mathfit,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_NA_Static-make-child-mathfit-200126,181205,3,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Static-Graphic,English,Make Your Child MathFit,Book a Free Class,none,MathFit thinking,High,Republic Day MathFit static,name-only,no
anz_fb_leads_conv_india-expats_australia_video_cuemath-hero-,ANZ_FB_Leads_Conv_India-Expats_Australia_Video_Cuemath-Hero-5-21s_061125,176699,9,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Animated,English,Cuemath hero brand video,Book a Free Class,none,builds thinking and concepts,Medium,Brand hero video,name-only,no
mea_akt_fb_leads_conv_interest_maths_engaged_shoppers_parent,MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_Video_Brand-Mission-27s_20-Oct-2025,174236,11,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Static-Graphic,English,Brand Mission 27s,Book a Free Class,none,builds thinking and concepts,Medium,MEA brand mission video,name-only,no
anz_fb_leads_conv_bollywood_australia_video_testimonial-mont,ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Testimonial-Montage_180326,173899,4,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Multiple parents share testimonials,Book a Free Class,none,confidence grades parent peace,Low,Testimonial montage AUS,testimonial-montage-aus,no
parents-believed-offline-was-better,MEA_AKT_FB_Leads_Conv_UAE_High_ROAS_Creative_Scaling_LP_Signup_NA_Static-Parents-believed-offline-was-better-180226,173689,5,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Personalization-Gap,Static-Graphic,English,Parents believed offline was better,Book a Free Class,none,offline classroom limitations,Medium,Offline-vs-online static,name-only,no
starting-at-$20-per-class,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Pricing_Creatives_LeadGen_NA_Static-starting-at-$20-per-class-220126,171794,3,Enrichment,Outcome-First,Offer-led,Anonymous,Foundation,Static-Graphic,English,Starting at $20 per class,Starting at $20 per class,none,affordable 1:1 math,Medium,US pricing static,name-only,no
shalini_inhouse_edit,USA_FB_Leads_Conv_Influencer_35_55_Advantage_LP_Signup_NA_Video_Shalini_Inhouse_Edit_030326,171169,4,Child-diagnosis,Top-Tutors,Free-Class,Named-child,Confidence,Studio,English,Is your child struggling to stay focused in math class?,Book a Free Class,Shalini,feel more confident over time,High,Shalini studio in-house edit,english-testimonial-shalini-dropati,no
k-2_testimonial_tripura_shankar,K-2_Testimonial_Tripura_Shankar_240226,168781,5,System-diagnosis,1-1-Personalization,Free-Class,Named-child,"Personalization-Gap,Foundation",Studio,English,Before Cuemath we have tried Kumon Mathnasium which we felt was not kid specific,Book a Free Class,Anaisha,Cuemath's one-to-one focus helped my kid focus better,High,K-2 Tripura Shankar testimonial,k-2-testimonial-tripura-shankar,yes
anz_fb_leads_conv_lal-payu_australia_video_testimonial-vanda,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Vandana_110226,167890,5,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,Studio,English,Vandana parent testimonial,Book a Free Class,Vandana,parent peace of mind,Low,Vandana studio testimonial,none,no
keerthi,USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,163831,2,System-diagnosis,1-1-Personalization,Free-Class,Named-both,Personalization-Gap,UGC-polished,English,Worried your child isn't getting enough attention in large online math classes?,Book a Free Trial Class,Nisha Shah... Sunil,personalized 1:1 attention,High,Keerthi influencer cut,perf-telegu-influencer-keerthi-us,yes
anz-uk_fb_leads_conv_int4c_uk_video_testimonial-robin-wife,ANZ-UK_FB_Leads_Conv_int4C_UK_Video_Testimonial-Robin-Wife_100226,159944,7,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Robin's wife parent testimonial,Book a Free Class,Robin's wife,parent peace of mind,Low,Australia Robin Wife testimonial,australia-testimonial-recording-english-robin-wife,no
anz_fb_leads_conv_lal-ql-0to2%_australia_static_w-testimonia,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_W-Testimonial-NAPLAN_030226,159595,6,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN testimonial static,Book a Free Class,none,NAPLAN preparation,High,NAPLAN-themed static,name-only,no
anz-uk_fb_leads_conv_payu_uk_video_testimonial-vandana,ANZ-UK_FB_Leads_Conv_PayU_UK_Video_Testimonial-Vandana_230326,156129,5,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,"Confidence,Foundation",Studio,English,Vandana parent testimonial,Book a Free Class,Vandana,confidence grades foundation,Low,Vandana studio testimonial,none,no
anz_fb_leads_conv_parents-all-pri+sec_australia_video_testim,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Video_Testimonial-Mohit-Kukreja_290126,155881,3,Enrichment,1-1-Personalization,Recommendation,Named-child,Engagement,UGC-polished,English,We were looking for more of mathematics tutoring where they have more of creative thinking,I will 100% recommend Cuemath,Agam,He loves that challenge,High,Mohit Kukreja AUS testimonial,mohit-kukreja-australia-testimonial,yes
anz_fb_leads_conv_lal-payu_australia_video_cuemath-hero-5-21,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Cuemath-Hero-5-21s_020326,155012,2,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Animated,English,Cuemath hero brand video,Book a Free Class,none,builds thinking and concepts,Medium,Brand hero,name-only,no
vandana-30-sec,ANZ_PFX_FB_Leads-Conv_Australia_Int-All-Expats_LeadGen_NA_Video_Vandana-30-Sec_251125,154344,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,Studio,English,Vandana parent testimonial 30s,Book a Free Class,Vandana,grades and school improvement,Low,Vandana studio 30s,none,no
video_anudeep,USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Anudeep_180226,153756,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,UGC-polished,English,Anudeep influencer endorsement,Book a Free Class,Anudeep influencer,grades and school,Low,Anudeep Telugu influencer,perf-telegu-influencer-anudeep-us,no
priyanshul_ig_video,USA_FB_Leads_Conv_Expats_NRI_Signup_Old-LP_35-55_Influencer_NA_Video_Priyanshul_IG_video_290126,152903,3,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,Is your child truly understanding math—or just memorizing steps?,Book a Free Trial Class,Priyanshul is influencer,strong concepts not rote learning,High,,influencer-edit-priyanshul-ig,no
christmas-master-algebra-geometry,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Christmas_LeadGen_NA_Static-Christmas-Master-Algebra-Geometry-101225,152695,6,Academic-Outcome,Top-Tutors,Offer-led,Anonymous,"Topic-Algebra,Topic-Geometry",Static-Graphic,English,Christmas Master Algebra Geometry,Christmas Special offer,none,master Algebra and Geometry,High,Christmas-themed Algebra/Geometry static,name-only,no
anz-eu_fb_leads_conv_int4c_eu_video_testimonial-vandana,ANZ-EU_FB_Leads_Conv_int4C_EU_Video_Testimonial-Vandana_050426,147010,5,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,"Confidence,Foundation",UGC-polished,English,Vandana parent testimonial,Book a Free Class,Vandana,confidence grades foundation,Low,Vandana EU testimonial,none,no
anz_fb_leads_conv_lal-ql-0to2%_australia_video_testimonial-m,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_Testimonial-Mohit-Kukreja_280126,144478,2,Enrichment,1-1-Personalization,Recommendation,Named-child,Engagement,UGC-polished,English,We were looking for more of mathematics tutoring where they have more of creative thinking,I will 100% recommend Cuemath,Agam,He loves that challenge,High,Mohit Kukreja AUS testimonial,mohit-kukreja-australia-testimonial,yes
high-school-ap-calculus-bc,USA_FB_Leads_Conv_Expats_High_School_40_60_Signup_LP_Statics_NA_Static-High-School-AP-Calculus-BC-090426,143995,2,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Late-Stage-HS,Topic-Calculus",Static-Graphic,English,High School AP Calculus BC,Book a Free Class,none,AP Calculus BC mastery,High,High school AP Calculus static,name-only,no
australia-english-testimonial_31-oct-2025,MEA_AKT_FB_Leads_Conv_UAE_CTF_Parents_Targeting_LP_Signup_NA_Video-Australia-English-Testimonial_31-Oct-2025,142549,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Australia parent testimonial,Book a Free Class,none,confidence and progress,Low,Australia testimonial reused for UAE,none,no
anz-uk_fb_leads_conv_india-expats_uk_static_o-classroom-math,ANZ-UK_FB_Leads_Conv_India-Expats_UK_Static_O-Classroom-Maths_050226,141944,3,System-diagnosis,1-1-Personalization,Free-Class,Anonymous,Personalization-Gap,Static-Graphic,English,Classroom math limitations,Book a Free Class,none,classroom math doesn't fit each child,Medium,Classroom-math static,name-only,no
anz_fb_leads_conv_int4c_australia_video_mother-video-v2,ANZ_FB_Leads_Conv_int4C_Australia_Video_Mother-Video-V2_020326,141251,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Mother video V2,Book a Free Class,none,confidence and progress,Low,Mother video,name-only,no
y-boost-naplan-white,ANZ_PFX_FB_Leads-Conv_Australia_All-Expats_ShortForm-LP-Signup_NA_Static_Y-Boost-NAPLAN-White_101225,140078,3,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Boost NAPLAN Score,Book a Free Class,none,NAPLAN preparation,High,NAPLAN static,name-only,no
anz_fb_leads_conv_nri-cities-female_australia_video_testimon,ANZ_FB_Leads_Conv_NRI-Cities-Female_Australia_Video_Testimonial-Montage_200326,138875,6,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Multiple parents share testimonials,Book a Free Class,none,grades confidence foundation,Low,Testimonial montage AUS,testimonial-montage-aus,no
anz-uk_fb_leads_conv_int4c_uk_video_testimonial-minal,ANZ-UK_FB_Leads_Conv_int4C_UK_Video_Testimonial-Minal_250226,138578,6,Child-diagnosis,1-1-Personalization,Recommendation,Named-child,"Confidence,Personalization-Gap",UGC-polished,English,my daughter has less confidence,I definitely recommend my friends and family to join Cuemath,Minal Patel,my daughter needed more personalized attention,High,Minal Patel UK testimonial,english-testimonial-minal-patel,yes
static_y-chinese-vernac_boy,Static_Y-Chinese-Vernac_Boy_100426,134018,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,Mandarin,Chinese vernac boy static,Book a Free Class,none,strong math foundations,Low,Chinese vernac static,name-only,no
anz_fb_leads_conv_lal-payu_australia_video_tamil-parent-shoo,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Tamil-Parent-Shoot-in-English_020326,128908,8,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,Studio,Tamil,Tamil parent testimonial in English,Book a Free Class,none,grades and foundation,Low,Tamil parent shoot,name-only,no
anz_fb_leads_conv_nri-cities-female_australia_static_y-testi,ANZ_FB_Leads_Conv_NRI-Cities-Female_Australia_Static_Y-Testimonial-Vishal_200326,127741,4,Academic-Outcome,Outcome-First,Free-Class,Named-child,Competition-Prep,Static-Graphic,English,He always is in the accelerated pathways,Book a Free Class,Vishal Sharma,top of his peer group in NAPLAN,High,Vishal NAPLAN static,english-testimonial-vishal-sharma-naplan,yes
testimonial-deepthi-31s-telugu,USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_111125,126409,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,Telugu,Deepthi Telugu testimonial,Book a Free Class,Deepthi Bandaru,grades and school improvement,Low,Telugu testimonial,telugu-testimonial-deepthi,no
b-around-your-child-v3,MEA_AKT_FB_Leads_Conv_UAE_High_ROAS_Creative_Scaling_LP_Signup_NA_Static-B-Around-Your-Child-V3-040126,125645,4,System-diagnosis,1-1-Personalization,Free-Class,Anonymous,Personalization-Gap,Static-Graphic,English,Around Your Child personalized attention,Book a Free Class,none,personalized attention each child,Medium,UAE Personalization static,name-only,no
ai-video-mathfit,AI-Video-MathFit_250226,125127,2,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,AI-Generated,English,AI is changing everything—but the real edge is clear thinking,Book a Free 1:1 Trial Class,none,critical thinking logical reasoning speed with accuracy,High,AI Video MathFit,ai-video-mathfit,no
anz-nz_fb_leads_conv_hni_new-zealand_video_cuemath-hero-5-21,ANZ-NZ_FB_Leads_Conv_HNI_New-Zealand_Video_Cuemath-Hero-5-21s_140226,124440,2,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Animated,English,Cuemath hero brand video,Book a Free Class,none,builds thinking and concepts,Medium,Brand hero,name-only,no
anz_fb_leads_conv_india-expats_australia_video_testimonial-m,ANZ_FB_Leads_Conv_India-Expats_Australia_Video_Testimonial-Montage_180326,121621,5,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Multiple parents share testimonials,Book a Free Class,none,parent peace of mind,Low,Testimonial montage AUS,testimonial-montage-aus,no
top-indian-tutors-nri-ad2,USA_FB_Leads_Conv_LAL_Enrolled_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-Top-Indian-tutors-NRI-Ad2-230126,121516,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,English,Top Indian Tutors for NRI Kids,Book a Free Class,none,top 1% Indian tutors clarity confidence,High,NRI top-Indian-tutors variant,nri-contextual-statics,no
anz-nz_fb_leads_conv_payu_new-zealand_video_tamil-parent-sho,ANZ-NZ_FB_Leads_Conv_PayU_New-Zealand_Video_Tamil-Parent-Shoot-in-English_110226,119786,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,Studio,Tamil,Tamil parent testimonial in English,Book a Free Class,none,grades and foundation,Low,Tamil parent shoot,name-only,no
static_y-ch-child,Static_Y-Ch-Child_280126,118354,5,Cultural,Cultural-Relatability,Free-Class,Anonymous,Engagement,Static-Graphic,English,Chinese child static,Book a Free Class,none,fun and engagement,Low,Chinese PLA child static,name-only,no
anz_fb_leads_conv_tv-channels_australia_static_w-testimonial,ANZ_FB_Leads_Conv_TV-Channels_Australia_Static_W-Testimonial-NAPLAN_140126,117073,2,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN testimonial static,Book a Free Class,none,NAPLAN preparation,High,,name-only,no
math_kangaroo_static_build_skills_v2,Math_Kangaroo_Static_Build_Skills_V2_040126,116679,3,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Build Math Kangaroo skills,Book a Free Class,none,Math Kangaroo skills,High,,name-only,no
anz_fb_leads_conv_lal-ql-0to2%_australia_video_testimonial-n,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_Testimonial-NAPLAN-Daphne_180326,115809,3,Academic-Outcome,Outcome-First,Free-Class,Named-child,Competition-Prep,UGC-polished,English,My son and daughter are very good at school. They are toppers,Book a Free Class,Daphne Venkatesh,He's got very good marks in NAPLAN,High,Daphne NAPLAN testimonial,aus-year-6-naplan-daphne-venkatesh-testimonial,yes
loved-by-uae-families-14-nov-2025,MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static-Loved-by-UAE-Families-14-Nov-2025,115750,6,Cultural,Cultural-Relatability,Trust-Badge,Anonymous,Foundation,Static-Graphic,English,Loved by UAE Families,trusted by UAE families,none,family trust and outcomes,Medium,UAE social proof static,none,no
anz-nz_fb_leads_conv_hni_new-zealand_video_mother-video-v2,ANZ-NZ_FB_Leads_Conv_HNI_New-Zealand_Video_Mother-Video-V2_140226,115540,5,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Mother video V2,Book a Free Class,none,confidence grades foundation,Low,Mother video,name-only,no
anz_fb_leads_conv_parenting_australia_video_testimonial-mont,ANZ_FB_Leads_Conv_Parenting_Australia_Video_Testimonial-Montage_310326,115179,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Multiple parents share testimonials,Book a Free Class,none,parent peace of mind,Low,Testimonial montage AUS,testimonial-montage-aus,no
spring-build-strong-foundation,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-Spring-Build-Strong-Foundation-060426,114135,3,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Spring Build Strong Foundation,Book a Free Class,none,strong math foundations,High,NRI seasonal static,nri-contextual-statics,no
perf_influencer_deepthi_us,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Deepthi_US_250326,113521,6,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,UGC-polished,English,Deepthi influencer endorsement,Book a Free Class,Deepthi influencer,grades and confidence,Low,Deepthi US perf cut,perf-edit-influencer-deepthi,no
anz_fb_leads_conv_int-parents_australia_video_testimonial-la,ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Testimonial-Lakshmi_200326,112337,9,Enrichment,Top-Tutors,Free-Class,Named-parent,Foundation,UGC-polished,English,we want math and science to be our strong suits,Book a Free Class,Lakshmi,Trigonometry is something she said she needs to spend more time with,High,Lakshmi (Norway) testimonial,none,yes
w-naplan-2026-ready,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-2026-Ready_241225,111999,5,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN 2026 Ready,Book a Free Class,none,NAPLAN preparation,High,,name-only,no
easter_hop_into_math_confidence,Easter_Hop_Into_Math_Confidence_240326,105084,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Confidence,Studio,English,Hop Into Math Confidence,Book a Free Class,none,build math confidence,Medium,Easter-themed static,name-only,no
testimonial-3kiran-rohini-30s-telugu,USA_PFX_FB_Leads-Conv_NA_Int-Expats-Telugu_LeadGen_NA_Video_Testimonial-3Kiran-Rohini-30s-Telugu_210825,104969,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,Telugu,Kiran Rohini Telugu testimonial,Book a Free Class,Kiran Rohini,grades and school improvement,Low,excluded-from-deck; Telugu vernac testimonial,none,no
high-school-algebra-to-ap-calculus,USA_FB_Leads_Conv_PayU_New_Audience_35-55_Statics_High_School_New_Concepts_LeadGen_NA_Static-High-School-Algebra-to-AP-Calculus-170426,104100,2,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Late-Stage-HS,Topic-Calculus",Static-Graphic,English,High School Algebra to AP Calculus,Book a Free Class,none,Algebra through AP Calculus,High,High school progression static,name-only,no
anz-uk_fb_leads_conv_int4c_uk_video_influencer-sahar,ANZ-UK_FB_Leads_Conv_int4C_UK_Video_Influencer-Sahar_210426,102704,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Sahar influencer endorsement,Book a Free Class,Sahar influencer,confidence and progress,Low,Sahar UK influencer,influencer-perf-edit-sahar,no
top-indian-tutors-nri-ad1,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Top-Indian-tutors-NRI-Ad1-010226,102159,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,English,Top Indian Tutors for NRI Kids,Book a Free Class,none,top 1% Indian tutors clarity confidence,High,NRI Top-Indian-tutors variant,nri-contextual-statics,no
anz_fb_leads_conv_expats-india_australia_video_testimonial-n,ANZ_FB_Leads_Conv_Expats-India_Australia_Video_Testimonial-NAPLAN-Daphne_060426,97022,6,Academic-Outcome,Outcome-First,Free-Class,Named-child,Competition-Prep,UGC-polished,English,My son and daughter are very good at school. They are toppers,Book a Free Class,Daphne Venkatesh,He's got very good marks in NAPLAN,High,Daphne NAPLAN testimonial,aus-year-6-naplan-daphne-venkatesh-testimonial,yes
tamil-parent-shoot-in-english,ANZ_PFX_FB_Leads-Conv_Australia_LeadGen_NA_Video_Tamil-Parent-Shoot-in-English_230126,94832,9,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,UGC-polished,Tamil,Tamil parent testimonial in English,Book a Free Class,none,grades and foundation,Low,Tamil parent shoot,name-only,no
anz_fb_leads_conv_expats-india_australia_static_w-naplan-202,ANZ_FB_Leads_Conv_Expats-India_Australia_Static_W-NAPLAN-2027-Testimonial_150426,93818,5,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN 2027 Testimonial,Book a Free Class,none,NAPLAN preparation,High,,name-only,no
anz_fb_leads_conv_bollywood_australia_video_testimonial-mohi,ANZ_FB_Leads_Conv_Bollywood_Australia_Video_Testimonial-Mohit-Kukreja_140226,93167,2,Enrichment,1-1-Personalization,Recommendation,Named-child,Engagement,UGC-polished,English,We were looking for more of mathematics tutoring where they have more of creative thinking,I will 100% recommend Cuemath,Agam,He loves that challenge,High,Mohit Kukreja AUS testimonial,mohit-kukreja-australia-testimonial,yes
naplan-chinese-v2,ANZ_PFX_FB_Leads-Conv_Australia_LeadGen_NA_Static_NAPLAN-Chinese-V2_230126,93000,3,Cultural,Cultural-Relatability,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN Chinese-targeted static,Book a Free Class,none,NAPLAN preparation,Medium,Chinese-targeted NAPLAN PLA,name-only,no
anz_fb_leads_conv_lal-payu_australia_video_testimonial-arti,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Arti_150426,90943,4,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Arti parent testimonial,Book a Free Class,Arti,confidence and progress,Low,Arti UGC testimonial,none,no
anz_fb_leads_conv_vernac-tamil-static_australia_static_ad3-t,ANZ_FB_Leads_Conv_Vernac-Tamil-Static_Australia_Static_Ad3-Tamil-Text_110226,89700,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,Tamil,Tamil vernac static,Book a Free Class,none,Tamil-language math support,Medium,Tamil vernac static,tamil-statics,no
anz_fb_leads_conv_parents-pri+sec-inf_australia_video_influe,ANZ_FB_Leads_Conv_Parents-Pri+Sec-Inf_Australia_Video_Influencer-Kanika_090226,89537,4,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Personalization-Gap,UGC-polished,English,Kanika influencer endorsement,Book a Free Class,Kanika arora influencer,personalized attention,Low,Kanika AUS influencer,none,no
anz-nz_fb_leads_conv_parents-pri+sec_australia_form_static_c,ANZ-NZ_FB_Leads_Conv_Parents-Pri+Sec_Australia_Form_Static_Classroom-Math_280126,88298,2,System-diagnosis,1-1-Personalization,Free-Class,Anonymous,Personalization-Gap,Static-Graphic,English,Classroom math limitations,Book a Free Class,none,classroom math doesn't fit each child,Medium,Classroom-math static,name-only,no
anz_fb_leads_conv_lal-0to2-ql_australia_static_testimonial-d,ANZ_FB_Leads_Conv_LAL-0to2-QL_Australia_Static_Testimonial-Dharmender_200426,86628,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,Static-Graphic,English,Dharmender parent testimonial,Book a Free Class,Dharmender,confidence and progress,Low,Dharmender static,none,no
mother-video-v2,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Video_Mother-Video-V2_140126,85120,4,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Mother video V2,Book a Free Class,none,confidence and progress,Low,Mother video,name-only,no
anz-sg_fb_leads_conv_lal-payu_singapore_video_testimonial-gu,ANZ-SG_FB_Leads_Conv_LAL-PayU_Singapore_Video_Testimonial-Gunjan-Video-V2_310126,84813,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Gunjan parent testimonial,Book a Free Class,Gunjan,grades and school confidence,Medium,SG Gunjan testimonial,name-only,no
jharna-gupta,USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Jharna-Gupta_060126,84444,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Jharna Gupta influencer endorsement,Book a Free Class,Jharna Gupta influencer,confidence grades parent peace,Low,Jharna influencer,none,no
anz_fb_leads_conv_all-expats_australia_static_w-child-fallin,ANZ_FB_Leads_Conv_All-Expats_Australia_Static_W-Child-Falling-Behind_070126,82967,3,Anxiety,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,English,Is your child falling behind in math?,Book a Free Class,none,grades and school improvement,High,Falling-behind static (anxiety hook),name-only,no
anz_fb_leads_conv_other-expats_australia_video_cuemath-hero-,ANZ_FB_Leads_Conv_Other-Expats_Australia_Video_Cuemath-Hero-5-21s_040226,82650,2,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Studio,English,Cuemath hero brand video,Book a Free Class,none,builds thinking and concepts,Medium,Brand hero,name-only,no
ai_video_math_confidence,AI_Video_Math_Confidence_240226,82397,2,Enrichment,MathFit,Free-Class,Anonymous,Confidence,AI-Generated,English,AI Math Confidence video,Book a Free Class,none,build math confidence,Medium,AI Video Math Confidence,ai-video-math-confidence,no
usa_fb_leads_conv_lal_payu_indianaudience_nri_35-55_leadgen_,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_LeadGen_3MF_Static_B-Math-Learning-New_020126,81990,4,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Math Learning with top tutors,Book a Free Class,none,strong math foundations,Medium,NRI 3MF static,name-only,no
english-testimonial-priyanka-rai,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_LeadGen_NA_Video_English-Testimonial-Priyanka-Rai-020126,81872,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,English,Priyanka parent testimonial,Book a Free Class,Priyanka D,grades and school improvement,Low,Priyanka D testimonial,influencer-perf-edit-priyanka-d,no
english_shoot_video,USA_FB_Leads_Conv_LAL_Enrolled_35-55_LeadGen_NA_Video_English_shoot_video_160126,81282,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,Studio,English,English studio testimonial,Book a Free Class,none,grades and school,Low,English studio shoot,english-testimonial-studio-shoot,no
anz_fb_leads_conv_lal-ql-0to2%_australia_video_cuemath-hero-,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_Cuemath-Hero-5-21s_280126,80536,4,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Animated,English,Cuemath hero brand video,Book a Free Class,none,builds thinking and concepts,Medium,Brand hero,name-only,no
anz_fb_leads_conv_india-expats_australia_video_testimonial-a,ANZ_FB_Leads_Conv_India-Expats_Australia_Video_Testimonial-Anushree_170226,79051,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Anushree parent testimonial,Book a Free Class,Anushree,parent peace of mind,Low,Anushree AUS testimonial,none,no
